article_frequency,transcript_frequency,emotion_differences,average_difference
"{'fear': 0.02586206896551724, 'anger': 0.04310344827586207, 'trust': 0.20689655172413793, 'surprise': 0.07758620689655173, 'positive': 0.2672413793103448, 'negative': 0.05172413793103448, 'sadness': 0.034482758620689655, 'disgust': 0.0, 'joy': 0.11206896551724138, 'anticipation': 0.1810344827586207}","{'fear': 0.04500978473581213, 'anger': 0.06457925636007827, 'trust': 0.16634050880626222, 'surprise': 0.08023483365949119, 'positive': 0.2309197651663405, 'negative': 0.08023483365949119, 'sadness': 0.029354207436399216, 'disgust': 0.03718199608610567, 'joy': 0.11545988258317025, 'anticipation': 0.1506849315068493}","{'positive': 0.03632161414400431, 'negative': 0.028510695728456707, 'anticipation': 0.030349551251771384, 'joy': 0.0033909170659288668, 'fear': 0.01914771577029489, 'trust': 0.040556042917875706, 'sadness': 0.005128551184290439, 'disgust': 0.03718199608610567, 'surprise': 0.0026486267629394628, 'anger': 0.021475808084216202}",0.022471151899588367
"{'fear': 0.07792207792207792, 'anger': 0.12987012987012986, 'trust': 0.1038961038961039, 'surprise': 0.05194805194805195, 'positive': 0.16883116883116883, 'negative': 0.15584415584415584, 'sadness': 0.05194805194805195, 'disgust': 0.05194805194805195, 'joy': 0.07792207792207792, 'anticipation': 0.12987012987012986}","{'fear': 0.03695652173913044, 'anger': 0.05434782608695652, 'trust': 0.17173913043478262, 'surprise': 0.07608695652173914, 'positive': 0.2391304347826087, 'negative': 0.06086956521739131, 'sadness': 0.03695652173913044, 'disgust': 0.02608695652173913, 'joy': 0.1391304347826087, 'anticipation': 0.15869565217391304}","{'positive': 0.07029926595143987, 'negative': 0.09497459062676453, 'anticipation': 0.028825522303783185, 'joy': 0.06120835686053078, 'fear': 0.040965556182947484, 'trust': 0.06784302653867871, 'sadness': 0.014991530208921515, 'disgust': 0.025861095426312822, 'surprise': 0.024138904573687184, 'anger': 0.07552230378317334}",0.050463015245623945
"{'fear': 0.04918032786885246, 'anger': 0.07377049180327869, 'trust': 0.1598360655737705, 'surprise': 0.07377049180327869, 'positive': 0.20491803278688525, 'negative': 0.11065573770491803, 'sadness': 0.0778688524590164, 'disgust': 0.03278688524590164, 'joy': 0.09836065573770492, 'anticipation': 0.11885245901639344}","{'fear': 0.06884875846501129, 'anger': 0.04740406320541761, 'trust': 0.17155756207674944, 'surprise': 0.06997742663656885, 'positive': 0.26749435665914223, 'negative': 0.050790067720090294, 'sadness': 0.025959367945823927, 'disgust': 0.022573363431151242, 'joy': 0.09593679458239278, 'anticipation': 0.17945823927765236}","{'positive': 0.06257632387225698, 'negative': 0.05986566998482774, 'anticipation': 0.06060578026125893, 'joy': 0.0024238611553121375, 'fear': 0.01966843059615883, 'trust': 0.011721496502978934, 'sadness': 0.051909484513192466, 'disgust': 0.010213521814750399, 'surprise': 0.0037930651667098386, 'anger': 0.026366428597861077}",0.030914406246530735
"{'fear': 0.07142857142857142, 'anger': 0.07692307692307693, 'trust': 0.12087912087912088, 'surprise': 0.06043956043956044, 'positive': 0.1978021978021978, 'negative': 0.12637362637362637, 'sadness': 0.1043956043956044, 'disgust': 0.03296703296703297, 'joy': 0.07692307692307693, 'anticipation': 0.13186813186813187}","{'fear': 0.035343035343035345, 'anger': 0.031185031185031187, 'trust': 0.1704781704781705, 'surprise': 0.07796257796257797, 'positive': 0.27234927234927236, 'negative': 0.07172557172557173, 'sadness': 0.035343035343035345, 'disgust': 0.015592515592515593, 'joy': 0.13097713097713098, 'anticipation': 0.15904365904365905}","{'positive': 0.07454707454707457, 'negative': 0.05464805464805464, 'anticipation': 0.02717552717552718, 'joy': 0.05405405405405406, 'fear': 0.03608553608553608, 'trust': 0.04959904959904961, 'sadness': 0.06905256905256905, 'disgust': 0.017374517374517374, 'surprise': 0.017523017523017527, 'anger': 0.04573804573804574}",0.04457974457974459
"{'fear': 0.020833333333333332, 'anger': 0.034722222222222224, 'trust': 0.2013888888888889, 'surprise': 0.06944444444444445, 'positive': 0.2777777777777778, 'negative': 0.0763888888888889, 'sadness': 0.020833333333333332, 'disgust': 0.027777777777777776, 'joy': 0.1111111111111111, 'anticipation': 0.1597222222222222}","{'fear': 0.041604754829123326, 'anger': 0.04309063893016345, 'trust': 0.1649331352154532, 'surprise': 0.07578008915304606, 'positive': 0.27191679049034173, 'negative': 0.08469539375928678, 'sadness': 0.031203566121842496, 'disgust': 0.022288261515601784, 'joy': 0.1025260029717682, 'anticipation': 0.16196136701337296}","{'positive': 0.005860987287436059, 'negative': 0.008306504870397885, 'anticipation': 0.0022391447911507545, 'joy': 0.008585108139342906, 'fear': 0.020771421495789994, 'trust': 0.036455753673435703, 'sadness': 0.010370232788509164, 'disgust': 0.0054895162621759926, 'surprise': 0.006335644708601609, 'anger': 0.008368416707941223}",0.01127827307247813
"{'fear': 0.06993006993006994, 'anger': 0.04895104895104895, 'trust': 0.17482517482517482, 'surprise': 0.06993006993006994, 'positive': 0.21678321678321677, 'negative': 0.1258741258741259, 'sadness': 0.07692307692307693, 'disgust': 0.027972027972027972, 'joy': 0.09090909090909091, 'anticipation': 0.0979020979020979}","{'fear': 0.056910569105691054, 'anger': 0.0508130081300813, 'trust': 0.14634146341463414, 'surprise': 0.07113821138211382, 'positive': 0.23373983739837398, 'negative': 0.07113821138211382, 'sadness': 0.03861788617886179, 'disgust': 0.026422764227642278, 'joy': 0.12804878048780488, 'anticipation': 0.17682926829268292}","{'positive': 0.01695662061515721, 'negative': 0.05473591449201207, 'anticipation': 0.07892717039058501, 'joy': 0.03713968957871397, 'fear': 0.013019500824378881, 'trust': 0.02848371141054068, 'sadness': 0.03830519074421514, 'disgust': 0.001549263744385694, 'surprise': 0.0012081414520438843, 'anger': 0.0018619591790323478}",0.02721871624310649
"{'fear': 0.022556390977443608, 'anger': 0.045112781954887216, 'trust': 0.17293233082706766, 'surprise': 0.03007518796992481, 'positive': 0.2932330827067669, 'negative': 0.08270676691729323, 'sadness': 0.03759398496240601, 'disgust': 0.0, 'joy': 0.12030075187969924, 'anticipation': 0.19548872180451127}","{'fear': 0.06929133858267716, 'anger': 0.06771653543307087, 'trust': 0.14488188976377953, 'surprise': 0.06141732283464567, 'positive': 0.231496062992126, 'negative': 0.08976377952755905, 'sadness': 0.05354330708661417, 'disgust': 0.04094488188976378, 'joy': 0.09606299212598425, 'anticipation': 0.14488188976377953}","{'positive': 0.061737019714640906, 'negative': 0.007057012610265825, 'anticipation': 0.05060683204073174, 'joy': 0.02423775975371499, 'fear': 0.04673494760523356, 'trust': 0.028050441063288134, 'sadness': 0.01594932212420816, 'disgust': 0.04094488188976378, 'surprise': 0.03134213486472086, 'anger': 0.02260375347818365}",0.03292641051447516
"{'fear': 0.045714285714285714, 'anger': 0.05714285714285714, 'trust': 0.12571428571428572, 'surprise': 0.05714285714285714, 'positive': 0.29714285714285715, 'negative': 0.10857142857142857, 'sadness': 0.06285714285714286, 'disgust': 0.005714285714285714, 'joy': 0.11428571428571428, 'anticipation': 0.12571428571428572}","{'fear': 0.04298356510745891, 'anger': 0.0493046776232617, 'trust': 0.15170670037926676, 'surprise': 0.07585335018963338, 'positive': 0.29582806573957016, 'negative': 0.07206068268015171, 'sadness': 0.029077117572692796, 'disgust': 0.018963337547408345, 'joy': 0.11125158027812895, 'anticipation': 0.1529709228824273}","{'positive': 0.0013147914032869967, 'negative': 0.036510745891276855, 'anticipation': 0.027256637168141584, 'joy': 0.003034134007585329, 'fear': 0.002730720606826803, 'trust': 0.025992414664981034, 'sadness': 0.033780025284450066, 'disgust': 0.013249051833122631, 'surprise': 0.018710493046776237, 'anger': 0.007838179519595444}",0.0170417193426043
"{'fear': 0.0958904109589041, 'anger': 0.0684931506849315, 'trust': 0.136986301369863, 'surprise': 0.0273972602739726, 'positive': 0.1780821917808219, 'negative': 0.1643835616438356, 'sadness': 0.1506849315068493, 'disgust': 0.0410958904109589, 'joy': 0.0547945205479452, 'anticipation': 0.0821917808219178}","{'fear': 0.05190989226248776, 'anger': 0.05680705190989226, 'trust': 0.1733594515181195, 'surprise': 0.03525954946131244, 'positive': 0.2703232125367287, 'negative': 0.07639569049951028, 'sadness': 0.04407443682664055, 'disgust': 0.019588638589618023, 'joy': 0.11067580803134182, 'anticipation': 0.1616062683643487}","{'positive': 0.09224102075590679, 'negative': 0.08798787114432532, 'anticipation': 0.07941448754243088, 'joy': 0.055881287483396616, 'fear': 0.043980518696416344, 'trust': 0.03637315014825648, 'sadness': 0.10661049468020875, 'disgust': 0.02150725182134088, 'surprise': 0.00786228918733984, 'anger': 0.01168609877503924}",0.05435444702346611
"{'fear': 0.05970149253731343, 'anger': 0.05223880597014925, 'trust': 0.15671641791044777, 'surprise': 0.03731343283582089, 'positive': 0.2462686567164179, 'negative': 0.09701492537313433, 'sadness': 0.06716417910447761, 'disgust': 0.022388059701492536, 'joy': 0.11194029850746269, 'anticipation': 0.14925373134328357}","{'fear': 0.054945054945054944, 'anger': 0.0521978021978022, 'trust': 0.15934065934065933, 'surprise': 0.054945054945054944, 'positive': 0.27472527472527475, 'negative': 0.054945054945054944, 'sadness': 0.03296703296703297, 'disgust': 0.016483516483516484, 'joy': 0.12362637362637363, 'anticipation': 0.17582417582417584}","{'positive': 0.02845661800885685, 'negative': 0.04206987042807939, 'anticipation': 0.02657044448089227, 'joy': 0.01168607511891094, 'fear': 0.0047564375922584876, 'trust': 0.00262424143021156, 'sadness': 0.034197146137444644, 'disgust': 0.005904543217976052, 'surprise': 0.017631622109234052, 'anger': 4.100377234705216e-05}",0.01739380022962113
